City,State,URL
,,http://www.city-data.com/city/Williamsport-Pennsylvania.html
,,http://www.city-data.com/city/South-Williamsport-Pennsylvania.html
,,http://www.city-data.com/city/Lock-Haven-Pennsylvania.html
New York,NY,http://www.city-data.com/city/Abbeville-Louisiana.html
Los Angeles,CA,http://www.city-data.com/city/Aberdeen-Maryland.html
Chicago,IL,http://www.city-data.com/city/Aberdeen-North-Carolina.html
Houston,TX,http://www.city-data.com/city/Aberdeen-South-Dakota.html
Philadelphia,PA,http://www.city-data.com/city/Aberdeen-Washington.html
Phoenix,AZ,http://www.city-data.com/city/Abernant-Alabama.html
San Antonio,TX,http://www.city-data.com/city/Abilene-Kansas.html
San Diego,CA,http://www.city-data.com/city/Abilene-Texas.html
Dallas,TX,http://www.city-data.com/city/Abingdon-Virginia.html
San Jose,CA,http://www.city-data.com/city/Abington-Massachusetts.html
Austin,TX,http://www.city-data.com/city/Abram-Perezville-Texas.html
Jacksonville,FL,http://www.city-data.com/city/Absecon-New-Jersey.html
San Francisco,CA,http://www.city-data.com/city/Accokeek-Maryland.html
Indianapolis,IN,http://www.city-data.com/city/Acton-California.html
Columbus,OH,http://www.city-data.com/city/Acton-Massachusetts.html
Fort Worth,TX,http://www.city-data.com/city/Acushnet-Massachusetts.html
Detroit,MI,http://www.city-data.com/city/Acworth-Georgia.html
El Paso,TX,http://www.city-data.com/city/Ada-Oklahoma.html
Seattle,WA,http://www.city-data.com/city/Addison-Illinois.html
Denver,CO,http://www.city-data.com/city/Addison-Texas.html
Washington,DC,http://www.city-data.com/city/Adelanto-California.html
Memphis,TN,http://www.city-data.com/city/Adelphi-Maryland.html
Boston,MA,http://www.city-data.com/city/Adrian-Michigan.html
Oklahoma City,OK,http://www.city-data.com/city/Affton-Missouri.html
Portland,OR,http://www.city-data.com/city/Agate-Beach-Oregon.html
Milwaukee,WI,http://www.city-data.com/city/Agawam-Massachusetts.html
Alburquerque,NM,http://www.city-data.com/city/Agawam-Town-Massachusetts.html
Tuscon,AZ,http://www.city-data.com/city/Agnew-Carlsborg-Washington.html
Fresno,CA,http://www.city-data.com/city/Agoura-Hills-California.html
Sascramento,CA,http://www.city-data.com/city/Ahuimanu-Hawaii.html
Long Beach,CA,http://www.city-data.com/city/Aiea-Hawaii.html
Kansas City,MO,http://www.city-data.com/city/Aiken-South-Carolina.html
Mesa ,AZ,http://www.city-data.com/city/Air-Force-Academy-Colorado.html
Atlanta,GA,http://www.city-data.com/city/Airmont-New-York.html
Omaha,NE,http://www.city-data.com/city/Airway-Heights-Washington.html
Colorado Springs,CO,http://www.city-data.com/city/Akron-Ohio.html
Raleigh,NC,http://www.city-data.com/city/Alabama.html
Miami,FL,http://www.city-data.com/city/Alabama.html?filter=ZAP
Oakland,CA,http://www.city-data.com/city/Alabama2.html
Minneapolis,MN,http://www.city-data.com/city/Alabama3.html
Tulsa,OK,http://www.city-data.com/city/Alabaster-Alabama.html
Cleveland,OH,http://www.city-data.com/city/Alachua-Florida.html
Wichita,KS,http://www.city-data.com/city/Alafaya-Florida.html
New Orleans,LA,http://www.city-data.com/city/Alameda-California.html
Arlington,TX,http://www.city-data.com/city/Alamo-California.html
Bakersfield,CA,http://www.city-data.com/city/Alamogordo-New-Mexico.html
Tampa,FL,http://www.city-data.com/city/Alamo-Heights-Texas.html
Aurora,CO,http://www.city-data.com/city/Alamosa-Colorado.html
Anaheim,CA,http://www.city-data.com/city/Alamo-Texas.html
Santa Ana,CA,http://www.city-data.com/city/Alaska.html
Cirpus Christi,TX,http://www.city-data.com/city/Alaska.html?filter=ZAP
Riverside,CA,http://www.city-data.com/city/Alaska2.html
Pittsburgh,PA,http://www.city-data.com/city/Alaska3.html
Stockton,CA,http://www.city-data.com/city/Albany-California.html
Cincinnati,OH,http://www.city-data.com/city/Albany-Georgia.html
St.Paul,MN,http://www.city-data.com/city/Albany-New-York.html
Greensboro,NC,http://www.city-data.com/city/Albany-Oregon.html
Toledo,OH,http://www.city-data.com/city/Albemarle-North-Carolina.html
Newark,NJ,http://www.city-data.com/city/Albert-Lea-Minnesota.html
Plano,TX,http://www.city-data.com/city/Albertville-Alabama.html
Henderson,NV,http://www.city-data.com/city/Albertville-Minnesota.html
Lincoln,NE,http://www.city-data.com/city/Albion-Michigan.html
Orlando,FL,http://www.city-data.com/city/Albion-New-York.html
Jersey City,NJ,http://www.city-data.com/city/Albuquerque-New-Mexico.html
Chula Vista,CA,http://www.city-data.com/city/Alcoa-Tennessee.html
Buffalo ,NY,http://www.city-data.com/city/Alderwood-Manor-Washington.html
Fort Wayne,IN,http://www.city-data.com/city/Aldine-Texas.html
,,http://www.city-data.com/city/Alexander-City-Alabama.html
,,http://www.city-data.com/city/Alexandria-Kentucky.html
,,http://www.city-data.com/city/Alexandria-Louisiana.html
,,http://www.city-data.com/city/Alexandria-Minnesota.html
,,http://www.city-data.com/city/Alexandria-Virginia.html
,,http://www.city-data.com/city/Algonquin-Illinois.html
,,http://www.city-data.com/city/Alhambra-California.html
,,http://www.city-data.com/city/Alice-Texas.html
,,http://www.city-data.com/city/Aliquippa-Pennsylvania.html
,,http://www.city-data.com/city/Aliso-Viejo-California.html
,,http://www.city-data.com/city/Allendale-Michigan.html
,,http://www.city-data.com/city/Allendale-New-Jersey.html
,,http://www.city-data.com/city/Allen-Park-Michigan.html
,,http://www.city-data.com/city/Allen-Texas.html
,,http://www.city-data.com/city/Allentown-Pennsylvania.html
,,http://www.city-data.com/city/Alliance-Nebraska.html
,,http://www.city-data.com/city/Alliance-Ohio.html
,,http://www.city-data.com/city/Allison-Park-Pennsylvania.html
,,http://www.city-data.com/city/Allouez-Wisconsin.html
,,http://www.city-data.com/city/Alma-Michigan.html
,,http://www.city-data.com/city/Almaville-Tennessee.html
,,http://www.city-data.com/city/Aloha-Oregon.html
,,http://www.city-data.com/city/Alondra-Park-California.html
,,http://www.city-data.com/city/Alpena-Michigan.html
,,http://www.city-data.com/city/Alpharetta-Georgia.html
,,http://www.city-data.com/city/Alpha-Tennessee.html
,,http://www.city-data.com/city/Alpine-California.html
,,http://www.city-data.com/city/Alpine-Utah.html
,,http://www.city-data.com/city/Alsip-Illinois.html
,,http://www.city-data.com/city/Altadena-California.html
,,http://www.city-data.com/city/Altamonte-Springs-Florida.html
,,http://www.city-data.com/city/Altamont-Oregon.html
,,http://www.city-data.com/city/Alta-Sierra-California.html
,,http://www.city-data.com/city/Alton-Illinois.html
,,http://www.city-data.com/city/Alton-North-Texas.html
,,http://www.city-data.com/city/Alton-Texas.html
,,http://www.city-data.com/city/Altoona-Iowa.html
,,http://www.city-data.com/city/Altoona-Pennsylvania.html
,,http://www.city-data.com/city/Altoona-Wisconsin.html
,,http://www.city-data.com/city/Altus-Oklahoma.html
,,http://www.city-data.com/city/Alum-Rock-California.html
,,http://www.city-data.com/city/Alvin-Texas.html
,,http://www.city-data.com/city/Amarillo-Texas.html
,,http://www.city-data.com/city/Ambler-Pennsylvania.html
,,http://www.city-data.com/city/Ambridge-Pennsylvania.html
,,http://www.city-data.com/city/American-Canyon-California.html
,,http://www.city-data.com/city/American-Fork-Utah.html
,,http://www.city-data.com/city/Americus-Georgia.html
,,http://www.city-data.com/city/Amesbury-Massachusetts.html
,,http://www.city-data.com/city/Amesbury-Town-Massachusetts.html
,,http://www.city-data.com/city/Ames-Iowa.html
,,http://www.city-data.com/city/Amherst-Center-Massachusetts.html
,,http://www.city-data.com/city/Amherst-Massachusetts.html
,,http://www.city-data.com/city/Amherst-New-Hampshire.html
,,http://www.city-data.com/city/Amherst-New-York.html
,,http://www.city-data.com/city/Amherst-Ohio.html
,,http://www.city-data.com/city/Amityville-New-York.html
,,http://www.city-data.com/city/Ammon-Idaho.html
,,http://www.city-data.com/city/Amory-Mississippi.html
,,http://www.city-data.com/city/Amsterdam-New-York.html
,,http://www.city-data.com/city/Anaconda-Deer-Lodge-County-Montana.html
,,http://www.city-data.com/city/Anaconda-Montana.html
,,http://www.city-data.com/city/Anacortes-Washington.html
,,http://www.city-data.com/city/Anadarko-Oklahoma.html
,,http://www.city-data.com/city/Anaheim-California.html
,,http://www.city-data.com/city/Anchorage-Alaska.html
,,http://www.city-data.com/city/Ancient-Oaks-Pennsylvania.html
,,http://www.city-data.com/city/Andalusia-Alabama.html
,,http://www.city-data.com/city/Anderson-Bedias-Texas.html
,,http://www.city-data.com/city/Anderson-California.html
,,http://www.city-data.com/city/Anderson-Indiana.html
,,http://www.city-data.com/city/Anderson-Mill-Texas.html
,,http://www.city-data.com/city/Anderson-South-Carolina.html
,,http://www.city-data.com/city/Andover-Florida.html
,,http://www.city-data.com/city/Andover-Kansas.html
,,http://www.city-data.com/city/Andover-Massachusetts.html
,,http://www.city-data.com/city/Andover-Minnesota.html
,,http://www.city-data.com/city/Andrews-Texas.html
,,http://www.city-data.com/city/Angleton-Rosharon-Texas.html
,,http://www.city-data.com/city/Angleton-Texas.html
,,http://www.city-data.com/city/Angola-Indiana.html
,,http://www.city-data.com/city/Ankeny-Iowa.html
,,http://www.city-data.com/city/Annandale-Virginia.html
,,http://www.city-data.com/city/Annapolis-Maryland.html
,,http://www.city-data.com/city/Annapolis-Neck-Maryland.html
,,http://www.city-data.com/city/Ann-Arbor-Michigan.html
,,http://www.city-data.com/city/Anna-Texas.html
,,http://www.city-data.com/city/Anniston-Alabama.html
,,http://www.city-data.com/city/Anoka-Minnesota.html
,,http://www.city-data.com/city/Ansonia-Connecticut.html
,,http://www.city-data.com/city/Antelope-California.html
,,http://www.city-data.com/city/Anthem-Arizona.html
,,http://www.city-data.com/city/Anthony-New-Mexico.html
,,http://www.city-data.com/city/Antigo-Wisconsin.html
,,http://www.city-data.com/city/Antioch-California.html
,,http://www.city-data.com/city/Antioch-Illinois.html
,,http://www.city-data.com/city/Apache-Arizona.html
,,http://www.city-data.com/city/Apache-Junction-Arizona.html
,,http://www.city-data.com/city/Apex-North-Carolina.html
,,http://www.city-data.com/city/Apollo-Beach-Florida.html
,,http://www.city-data.com/city/Apopka-Florida.html
,,http://www.city-data.com/city/Appleton-Wisconsin.html
,,http://www.city-data.com/city/Apple-Valley-California.html
,,http://www.city-data.com/city/Apple-Valley-Minnesota.html
,,http://www.city-data.com/city/Applewood-Colorado.html
,,http://www.city-data.com/city/Appling-Georgia.html
,,http://www.city-data.com/city/Aptos-California.html
,,http://www.city-data.com/city/Aquia-Harbour-Virginia.html
,,http://www.city-data.com/city/Arab-Alabama.html
,,http://www.city-data.com/city/Aransas-Pass-Texas.html
,,http://www.city-data.com/city/Arbutus-Maryland.html
,,http://www.city-data.com/city/Arcadia-California.html
,,http://www.city-data.com/city/Arcadia-Florida.html
,,http://www.city-data.com/city/Arcadia-New-York.html
,,http://www.city-data.com/city/Arcata-California.html
,,http://www.city-data.com/city/Archbald-Pennsylvania.html
,,http://www.city-data.com/city/Archdale-North-Carolina.html
,,http://www.city-data.com/city/Arden-Arcade-California.html
,,http://www.city-data.com/city/Arden-Hills-Minnesota.html
,,http://www.city-data.com/city/Ardmore-Oklahoma.html
,,http://www.city-data.com/city/Ardmore-Pennsylvania.html
,,http://www.city-data.com/city/Arivaca-Arizona.html
,,http://www.city-data.com/city/Arizona.html
,,http://www.city-data.com/city/Arizona.html?filter=ZAP
,,http://www.city-data.com/city/Arizona2.html
,,http://www.city-data.com/city/Arizona3.html
,,http://www.city-data.com/city/Arizona-City-Arizona.html
,,http://www.city-data.com/city/Arkadelphia-Arkansas.html
,,http://www.city-data.com/city/Arkansas.html
,,http://www.city-data.com/city/Arkansas.html?filter=ZAP
,,http://www.city-data.com/city/Arkansas2.html
,,http://www.city-data.com/city/Arkansas3.html
,,http://www.city-data.com/city/Arkansas-City-Kansas.html
,,http://www.city-data.com/city/Arlington-Heights-Illinois.html
,,http://www.city-data.com/city/Arlington-Heights-Pennsylvania.html
